Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
47.4429543,11.2655684,91.4,82
,,91.4,82
51.0565934,13.2980726,91.4,328
51.7991251,10.6156365,91.5,164000
49.4833173,8.484585,91.5,6560
47.8414754,12.6554368,91.5,8200
,,91.5,16400
,,91.5,524.8
,,91.5,492
51.2990263,7.6734841,91.5,164
51.4007175,7.1862486,91.5,164
53.20509275,7.45946396249222,91.5,820
,,91.5,32.8
50.4118935,12.1568975,91.5,164
,,91.5,492
,,91.5,656
48.3825958,9.8984907,91.5,1640
,,91.5,164
,,91.5,262.4
54.18004525,7.8853621011807,91.5,82
,,91.5,
50.2406477,7.5141558,91.6,65600
49.2406651,12.9207737,91.6,82000
,,91.6,16400
51.2511558,8.8262818,91.6,820
49.9740542,9.1493636,91.6,164
53.2110052,14.2085984,91.6,2132
,,91.6,328
50.529939,12.8345393,91.6,328
,,91.6,820
51.2383379,12.7287511,91.6,164
48.776778,9.5556325,91.6,32.8
52.5092543,7.2881111,91.6,656
,,91.6,164
49.7451275,9.2988924,91.6,16.4
,,91.6,82
,,91.7,164000
53.1492896,12.1761903,91.7,16400
,,91.7,328
,,91.7,164
49.7562556,6.6133216,91.7,492
48.7526525,8.2022485,91.7,820
,,91.7,164
52.1609772,8.8682777,91.7,164
48.6373832,13.6510105,91.7,328
49.77962345,9.67629344169475,91.7,164
50.7469606,13.0695613,91.7,410
,,91.7,82
50.2556672,8.6511395,91.7,1230
53.563139,9.97581251577813,91.7,246
,,91.7,164
51.6565219,10.3428415,91.7,164
51.3038241,13.308828,91.7,1640
54.3294634,8.7795106,91.7,820
48.305149,8.9932961,91.8,65600
46.6071072,12.8824472,91.8,16400
,,91.8,164
,,91.8,8200
,,91.8,8200
,,91.8,164
48.6645827,11.9639032,91.8,328
52.8351496,13.7997011,91.8,2132
53.9070019,13.0327836,91.8,328
51.0491637,12.1349991,91.8,1640
51.477438,9.1521973,91.8,820
50.800473,12.7069527,91.8,52480
52.7873874,13.3834451756387,91.8,2132
47.6266365,8.2369359,91.8,820
51.3145906,7.7230609,91.9,32800
,,91.9,41000
49.4835543,6.37443742080403,91.9,8200
,,91.9,82000
52.1405622,12.5865873,91.9,49200
,,91.9,164
50.5566274,6.23621810669486,91.9,82
,,91.9,164
,,91.9,82
49.6252945,7.9146758,92,98400
,,92,41000
,,92,16400
