,Area Served,Callsign,Frequency(MHz),Purpose,Polarisation,Antenna Height (m),Antenna Pattern,Maximum ERP (W),Technical Specification Number,Licence Number,Site id,Site Name,Zone,Easting,Northing,Latitude,Longitude,State,BSL,Licence Area,Licence Area ID,Status,Deg,Min,Sec,Deg1,Min1,Sec1,Latitude in degrees,Longitude in degrees
84,Amrun,4JJJ,98.1,Retransmission,V,60,DA,50.0,12000055,10101215,10001591,Amrun MIA Tower Hey River Amrun Road AMRUN,0,0,0,12 55 43S,141 38 2E,QLD,,,,Issued,12,55,43,141,38,2,12.92861111111111,141.6338888888889
85,Amrun,4ABCFM,98.9,Retransmission,V,60,DA,50.0,12000058,10101039,10001591,Amrun MIA Tower Hey River Amrun Road AMRUN,0,0,0,12 55 43S,141 38 2E,QLD,,,,Issued,12,55,43,141,38,2,12.92861111111111,141.6338888888889
86,Amrun,4ABCRN,99.7,Retransmission,V,60,DA,50.0,12000056,10101202,10001591,Amrun MIA Tower Hey River Amrun Road AMRUN,0,0,0,12 55 43S,141 38 2E,QLD,,,,Issued,12,55,43,141,38,2,12.92861111111111,141.6338888888889
87,Andamooka,5ABCRR,105.9,National,M,36,OD,50.0,10002897,1198429,25545,Telstra Site Hallion Hill Rd ANDAMOOKA,0,0,0,30 28 24S,137 9 60E,SA,,,,Issued,30,28,24,137,9,60,30.473333333333333,137.16666666666669
88,Andamooka,5ABCRN,107.5,National,M,36,OD,50.0,10002898,1198437,25545,Telstra Site Hallion Hill Rd ANDAMOOKA,0,0,0,30 28 24S,137 9 60E,SA,,,,Issued,30,28,24,137,9,60,30.473333333333333,137.16666666666669
89,Angaston,5ABCFM,90.7,Retransmission,V,15,OD,100.0,10005857,10066918,24206,Council Site Water Tank Tappa Pass ANGASTON,0,0,0,34 29 43S,139 3 43E,SA,,,,Issued,34,29,43,139,3,43,34.49527777777778,139.06194444444446
90,Angaston,5SBSFM,92.3,Retransmission,V,15,OD,100.0,1137792,10066829,24206,Council Site Water Tank Tappa Pass ANGASTON,0,0,0,34 29 43S,139 3 43E,SA,,,,Issued,34,29,43,139,3,43,34.49527777777778,139.06194444444446
91,Angaston,5DN,94.7,Retransmission,V,15,OD,100.0,10008574,10066919,24206,Council Site Water Tank Tappa Pass ANGASTON,0,0,0,34 29 43S,139 3 43E,SA,,,,Issued,34,29,43,139,3,43,34.49527777777778,139.06194444444446
92,Apollo Bay,3OCR,88.7,Community,V,6,OD,100.0,1133388,1922753,142289,Apollo Bay Shire Office 69 Nelson Street APOLLO BAY,0,0,0,38 45 33S,143 39 51E,VIC,1150491.0,COLAC RA1,,Issued,38,45,33,143,39,51,38.759166666666665,143.66416666666666
93,Apollo Bay,3ABCRR,89.5,National,M,24,OD,200.0,10010463,1156894,140223,BAI Comms Site 30 Roberts Rd MARENGO,0,0,0,38 46 48S,143 39 5E,VIC,,,,Issued,38,46,48,143,39,5,38.78,143.6513888888889
94,Apollo Bay,3CCS,95.9,Commercial,M,40,DA,250.0,10009649,1170432,36808,Comms Site off Skenes Creek Rd TANYBRYN,0,0,0,38 40 23S,143 43 22E,VIC,10309.0,COLAC RA1,,Issued,38,40,23,143,43,22,38.67305555555555,143.7227777777778
95,Apollo Bay,8SAT,97.9,Commercial,M,25,OD,250.0,1136609,1990198,140223,BAI Comms Site 30 Roberts Rd MARENGO,0,0,0,38 46 48S,143 39 5E,VIC,10147.0,REMOTE COMMERCIAL RADIO SERVICE CENTRAL ZONE RA1,,Issued,38,46,48,143,39,5,38.78,143.6513888888889
96,Aramac,4LRE,98.1,Retransmission,V,30,OD,50.0,1136799,1950047,140256,SES site cnr of Porter Street and Aramac-Muttaburra Road ARAMAC,0,0,0,22 58 5S,145 14 35E,QLD,,,,Issued,22,58,5,145,14,35,22.968055555555555,145.24305555555554
97,Aramac,4SBSFM,99.7,Retransmission,V,30,OD,30.0,1133813,1930088,140256,SES site cnr of Porter Street and Aramac-Muttaburra Road ARAMAC,0,0,0,22 58 5S,145 14 35E,QLD,,,,Issued,22,58,5,145,14,35,22.968055555555555,145.24305555555554
98,Aramac,4ABCRN,107.9,National,M,32,OD,50.0,10003847,1198782,151621,Broadcast Australia Site McAuliffe Street ARAMAC,0,0,0,22 57 56S,145 14 52E,QLD,,,,Issued,22,57,56,145,14,52,22.965555555555554,145.24777777777777
99,Ararat,,92.9,HPON,M,30,OD,50.0,10004792,1170746,11729,Telstra Radio Terminal Site One Tree Hill Rd ARARAT,0,0,0,37 16 13S,142 53 31E,VIC,,,,Issued,37,16,13,142,53,31,37.27027777777778,142.89194444444445
100,Ararat,3WWM,98.5,Commercial,V,25,DA,1000.0,10008708,1154856,11729,Telstra Radio Terminal Site One Tree Hill Rd ARARAT,0,0,0,37 16 13S,142 53 31E,VIC,10308.0,HORSHAM RA1,,Issued,37,16,13,142,53,31,37.27027777777778,142.89194444444445
101,Argyle,6FMS,102.7,Commercial,M,20,OD,80.0,10001401,1384897,32438,Broadcast Site Diamond Mine ARGYLE,0,0,0,16 42 35S,128 23 44E,WA,10354.0,REMOTE COMMERCIAL RADIO SERVICE WESTERN ZONE RA1,,Issued,16,42,35,128,23,44,16.709722222222222,128.39555555555555
102,Argyle,6WR,104.3,Community,M,25,OD,50.0,10001400,1154066,32438,Broadcast Site Diamond Mine ARGYLE,0,0,0,16 42 35S,128 23 44E,WA,10355.0,KUNUNURRA RA1,,Issued,16,42,35,128,23,44,16.709722222222222,128.39555555555555
103,Argyle,6KW,105.9,National,M,21,OD,50.0,10001399,1198511,32438,Broadcast Site Diamond Mine ARGYLE,0,0,0,16 42 35S,128 23 44E,WA,,,,Issued,16,42,35,128,23,44,16.709722222222222,128.39555555555555
104,Argyle,6ABCRN,107.5,National,M,21,OD,50.0,10001398,1198535,32438,Broadcast Site Diamond Mine ARGYLE,0,0,0,16 42 35S,128 23 44E,WA,,,,Issued,16,42,35,128,23,44,16.709722222222222,128.39555555555555
105,Ariah Park,2TEM,106.9,s212 Retransmission,M,15,OD,50.0,12000808,11162151,10022700,Ariah Park Memorial Hall 17 Pitt Street ARIAH PARK,0,0,0,34 20 52S,147 13 12E,NSW,,,,Issued,34,20,52,147,13,12,34.34777777777778,147.22
