Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
-12.15694444,-39.97389,104.1,15
-12.15,-39.97333,105.1,3
-11.82027778,-42.26142,91.1,3
-13.25138889,-40.00844,89.5,3
-13.28555556,-40.09511,88.7,3
-12.24861111,-41.16194,100.1,1
-12.05,-38.87667,89.1,3
-11.25888889,-41.18225,100.7,5
-11.27601111,-41.17877,103.7,514633
-11.31666667,-41.18667,105.9,3
-16.54836944,-39.956845,90.3,48498
-12.5275,-40.03069,93.1,1
-12.52833056,-40.041194,95.5,477
-14.78555556,-39.92803,92.9,3
-14.78138889,-39.92608,96.9,3
-14.8,-39.92628,98.7,3
-14.78083333,-39.92622,102.1,30
-14.78333333,-39.92833,104.1,3
-14.2775,-38.89967,89.1,3
-12.98638889,-40.09725,89.1,3
-14.28361111,-39.98428,89.1,3
-16.08666667,-39.96144,89.3,3
-11.01166667,-42.23994,88.7,3
-15.1425,-39.97244,89.7,3
-14.75693889,-39.927038,96.1,90009
-17.025,-39.95414,91.3,5
-17.06416667,-39.944,99.7,30
-13.77805556,-39.96836,92.9,3
-15.245,-40.06244,88.9,3
-17.18555556,-40.04264,101.5,3
-12.88833333,-38.86786,94.9,3
-15.95083333,-39.95339,88.9,3
-15.25,-40.025,90.1,3
-15.26056111,-40.025139,94.3,3
-15.25,-40.025,106.3,3
-11.31666667,-38.82333,89.3,3
-14.42277778,-39.9565,90.7,3
-15.66972222,-40.00994,97.1,5
-12.71194444,-39.96981,89.5,3
-13.53166667,-40.01503,98.9,3
-10.7,-39.985,90.9,3
-15.12333056,-40.012889,105.3,3
-13.68055556,-41.13089,103.5,3
-13.72216111,-39.915582,99.9,23354
-13.73222222,-39.91492,96.5,3
-14.41388889,-43.35544,88.5,3
-13.61944444,-44.44328,90.9,3
-14.84972222,-42.24333,89.1,3
-11.185,-40.06986,93.5,30
-11.19472222,-40.06833,99.1,5
-11.18333333,-40.05167,105.9,3
-13.53055556,-39.99708,97.3,5
-10.26055556,-40.01958,103.3,5
-13.11333333,-38.88956,106.5,3
-11.56416667,-37.77844,91.7,3
-13.8575,-40.00836,89.7,3
-13.89944444,-40.01336,93.3,50
-13.89222222,-40.01222,94.9,30
-13.89025,-40.012111,106.1,22471
-10.06333333,-38.83861,106.9,5
-13.25666667,-39.95722,90.5,3
-14.01888889,-39.98889,92.3,3
-11.34972222,-41.16644,91.5,3
-9.410277778,-40.05042,99.9,181702
-9.433888889,-40.05264,102.5,15
-9.4275,-40.04875,106.7,3
-16.84277778,-40.01589,88.7,3
-11.04694444,-41.19694,89.1,3
-15.19138889,-39.94953,89.9,3
-13.51666667,-41.15925,91.3,3
-13.65583333,-40.02125,88.7,3
-14.03472222,-42.21422,95.3,3
-13.18222222,-39.9425,89.1,3
-12.35583333,-40.09056,89.3,3
-13.475,-40.02231,89.1,3
-12.96873889,-38.846475,102.5,75
-12.56305556,-41.139,89.7,3
-14.68222222,-42.25075,89.5,3
-13.65,-41.185,104.3,3
-12.13611111,-40.036,88.9,3
-15.58472222,-40.04211,93.1,15
-15.56148056,-40.039272,98.1,143
-13.00361111,-42.26961,103.9,3
-9.1675,-39.90575,88.7,3
-14.66333333,-41.14917,89.7,3
-15.62111111,-40.02661,88.7,3
-11.71138889,-40.01489,88.7,3
-14.33611111,-43.37736,88.7,3
-14.38805556,-41.18792,89.5,3
-14.14527778,-40.02425,88.9,3
-10.71638889,-44.40344,88.7,3
-13.44111111,-40.04308,88.5,3
-12.77777778,-38.89194,89.1,3
-14.10305556,-39.90147,90.9,3
-13.00305556,-40.05306,88.9,3
-15.56666667,-39.92833,105.5,3
-12.53027778,-38.82992,98.1,1
-12.49558333,-38.82499,102.9,188
-13.90944444,-42.28494,89.1,3
-17.42027778,-39.98936,93.1,3
-17.37388889,-40.02206,102.3,1
-11.43397222,-40.06006,88.5,3
-11.42888889,-40.0595,102.7,3
-12.87,-39.98589,88.9,3
-10.95444444,-40.05758,89.1,3
-14.24194444,-40.07783,89.9,3
-10.42861111,-39.93378,90.3,16889
-11.55861111,-43.32808,88.5,3
-11.591,-41.12079,100.3,60
-15.02333333,-42.23681,89.3,3
-13.00527778,-41.13708,89.3,3
-18.04721944,-39.959806,104.5,3
-18.00361111,-39.986361,97.5,3
-11.96611111,-41.16389,89.3,3
-11.85888889,-40.04725,97.1,3
-13.00277778,-39.911,93.9,3
-12.19861111,-43.38328,91.3,3
-12.62638889,-38.899,89.7,3
